Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","18,259.10","18,265.25","18,184.80","18,218.30","27.30","0.15","980.82","6,461.86","18,887.60","15,183.40","5.84","-2.15"
"BAJAJFINSV","1,528.00","1,573.00","1,525.85","1,568.80","57.10","3.78","16.89","262.62","1,862.10","1,072.72","-90.35","-3.87"
"BAJFINANCE","6,550.00","6,719.90","6,515.00","6,687.00","176.10","2.70","7.67","510.45","8,045.00","5,220.00","-3.25","-0.70"
"ONGC","145.45","148.75","144.55","147.55","2.90","2.00","63.22","93.17","194.95","119.85","6.23","5.20"
"HINDALCO","473.95","482.30","472.80","478.15","8.25","1.76","51.81","247.59","636.00","308.95","5.26","9.68"
"BAJAJ-AUTO","3,580.00","3,635.00","3,567.65","3,630.00","61.20","1.71","1.16","41.75","4,131.75","3,125.00","11.26","-0.82"
"TITAN","2,564.00","2,602.00","2,553.05","2,593.00","39.75","1.56","5.27","136.28","2,791.00","1,825.05","7.94","-0.79"
"TATASTEEL","112.90","114.75","112.70","113.45","1.70","1.52","357.00","406.23","138.67","82.70","-89.84","6.93"
"ADANIENT","3,829.70","3,872.80","3,822.05","3,851.00","40.40","1.06","7.28","280.26","4,190.00","1,528.80","124.15","-0.71"
"BPCL","328.00","330.95","327.55","330.60","3.40","1.04","9.37","30.86","406.90","288.05","-13.25","-2.49"
"TATAMOTORS","391.00","392.20","387.80","389.40","3.50","0.91","58.27","227.34","528.50","366.20","-18.19","-10.10"
"HEROMOTOCO","2,735.85","2,764.85","2,722.90","2,745.90","23.70","0.87","0.98","26.83","2,938.60","2,146.85","12.85","-2.91"
"WIPRO","393.00","396.30","392.00","394.10","3.35","0.86","23.48","92.47","726.80","372.40","-44.00","-2.73"
"RELIANCE","2,545.10","2,570.00","2,545.10","2,563.80","20.50","0.81","15.55","398.05","2,856.15","2,180.00","6.71","-5.47"
"KOTAKBANK","1,825.10","1,834.00","1,822.30","1,833.00","14.25","0.78","8.74","159.89","1,997.55","1,631.00","3.90","-4.81"
"TECHM","1,022.75","1,027.65","1,015.80","1,020.35","7.15","0.71","6.43","65.70","1,838.00","943.70","-42.90","-5.04"
"TCS","3,286.05","3,298.00","3,273.75","3,290.65","21.90","0.67","4.50","147.90","4,043.00","2,926.10","-10.94","-3.14"
"COALINDIA","222.25","224.20","222.25","222.95","1.30","0.59","13.08","29.20","263.40","143.90","51.93","-1.87"
"SBIN","615.25","620.55","612.10","614.90","3.10","0.51","64.56","397.80","629.55","425.00","35.32","1.04"
"JSWSTEEL","773.00","777.50","768.10","771.50","2.10","0.27","12.00","92.79","790.00","520.05","17.62","5.32"
"INFY","1,528.00","1,530.40","1,519.20","1,521.60","4.05","0.27","18.57","283.26","1,953.90","1,355.00","-19.30","-6.60"
"AXISBANK","941.25","943.50","934.05","936.05","1.50","0.16","16.55","155.22","958.90","618.25","39.60","4.87"
"ADANIPORTS","822.45","826.75","816.80","820.60","1.05","0.13","19.19","157.65","987.85","651.95","13.54","-6.56"
"ULTRACEMCO","7,000.00","7,053.05","6,964.20","6,985.00","2.80","0.04","1.06","74.21","7,946.00","5,157.05","-5.87","0.81"
"POWERGRID","216.05","216.75","215.40","215.80","0.05","0.02","9.91","21.41","248.35","186.35","5.47","-1.62"
"HINDUNILVR","2,579.95","2,586.45","2,561.20","2,567.20","-0.85","-0.03","2.58","66.46","2,741.60","1,901.55","11.29","-2.54"
"ITC","335.40","336.75","333.60","335.15","-0.20","-0.06","30.24","101.28","361.45","207.00","54.63","-2.09"
"UPL","726.20","732.00","720.60","721.95","-0.60","-0.08","5.38","39.09","848.00","607.50","-4.80","-6.83"
"MARUTI","8,470.00","8,490.00","8,391.10","8,420.00","-15.80","-0.19","1.79","151.25","9,769.00","6,536.55","14.56","-5.50"
"LT","2,115.00","2,133.00","2,103.05","2,106.70","-4.20","-0.20","4.46","94.47","2,211.60","1,456.35","11.18","2.74"
"NTPC","166.75","167.80","166.00","166.35","-0.40","-0.24","31.34","52.21","181.85","122.20","35.08","-2.23"
"HDFC","2,687.35","2,688.80","2,659.10","2,668.15","-7.25","-0.27","6.03","160.97","2,933.80","2,026.00","4.08","0.11"
"DRREDDY","4,280.00","4,285.10","4,242.00","4,248.60","-12.00","-0.28","0.68","28.85","4,931.05","3,654.00","-12.09","-4.60"
"NESTLEIND","19,839.55","19,890.00","19,706.25","19,748.80","-59.20","-0.30","0.19","38.19","21,050.00","16,000.00","1.80","-1.85"
"HDFCBANK","1,645.00","1,645.00","1,629.05","1,636.25","-5.05","-0.31","15.08","246.60","1,722.10","1,271.60","12.55","2.40"
"GRASIM","1,755.35","1,771.45","1,738.75","1,747.25","-5.50","-0.31","1.28","22.44","1,929.80","1,276.60","8.89","1.63"
"HDFCLIFE","572.05","573.00","566.75","568.95","-2.05","-0.36","5.85","33.32","678.80","497.05","-11.76","-2.72"
"SUNPHARMA","1,004.00","1,005.85","993.75","996.75","-3.80","-0.38","5.21","51.93","1,058.30","784.80","18.83","-5.06"
"ASIANPAINT","3,130.75","3,130.75","3,088.10","3,102.60","-12.55","-0.40","3.15","97.72","3,590.00","2,560.00","-7.87","-1.04"
"DIVISLAB","3,448.60","3,448.60","3,392.00","3,397.00","-15.20","-0.45","1.00","34.27","4,708.75","3,195.15","-26.50","0.72"
"INDUSINDBK","1,238.00","1,238.00","1,216.05","1,225.00","-6.15","-0.50","7.11","87.12","1,275.80","763.20","40.80","3.76"
"M&M","1,265.35","1,265.35","1,251.30","1,255.90","-6.45","-0.51","5.02","63.13","1,364.85","671.15","50.82","-0.10"
